Composer
Anonymous
Hieronymo C. Vicentino
David Berglin?
Jo. Gazing
A.W.
Giovanni Pietro
Johannes Arpinus
John Danyel
Esteban Daza
Petrus Fabricius or Petrus Lauremberg
Gregor Krengel
Tylman Susato
Petrus Fabricius or Rudolf Wyssenbach
Joachim Burmeister or Petrus Fabricius
Richard Martin
Domenico Maria Melli
Moritz von Hessen
Robert Dowland
Mathias Mason
Benedict de Drusina?
Benedict de Drusina
Orazio Michi?
Bartolomeo Tromboncino
Philippus L.
Francesco dAna
Hayne von Ghizeghem
Gilles Mureau
Miguel de Fuenllana
Valentin Strobel and Various
Various
Antonio del Pergamasco
Georg Schew
Elias Mertel and Anonymous
J.F.
Jan Nasco
Angelo Gardano
Philip van Wilder
?John? Marchant
Luc Despond
du Gast
du Gast?
Eustache du Caurroy
Edward Herbert
Cuthbert Hely
William Hollis
Edward Collard
Michael Cavendish
William Hollis?
Thomas Smyth
Thomas Vautor
G.T.
Julio Segni?
Valentine Sawyer?
Renaldo Paradiso
Robert Parsons
Richard Reade
John Johnson?
Peter Philips?
Edward Pierce
Jo. Singer
Anthony Holborne?
Andrew Marks
Charles de lEspine
Henry Lichfield
Thistlethwaite
Lushier
Charles Jackson
Robert Askue
Lodovico Bassano
Jacques Gautier?
Nicholas Strogers
John Lawrence
Germain Pinel
Ambrose ?Lupo
Edward Pearce
Alfonso Ferrabosco I?
Jenning
William Hewes
Luis de Narváez
J.R.
Franciscus von Maylandt
Bernardo Gianoncelli
Baldassare Donato
Jacob Heringman
Jakub Reys and Joachim van den Hove
Pietro P. Raimondo
Julito Tartaglino
Lorenzino Tracetti?
Cosimo Bottegari
Andrea Falconieri
Giuseppe Baglioni
Antonio?
Clement Cotton?
Guillaume Morlaye
Marck Antoine
Bernhard Jobin
Hans Judenkünig
Adrian Le Roy
Luis Milán
Louys de Moy
Henri de lEnclos
Alonso Mudarra
Cesare Negri
Hans Newsidler?
Nicolaus Craen
Johannes de Stokhem
Gaspar van Weerbeke or Jacob Obrecht
Johannes Ghiselin
Jacob Obrecht
Alexander Agricola
Jacob Obrecht or Pierre de la Rue
Gioan Antonio Severino
Pineta
Giulio Severino
B.M.
Rogier Pathie
F.B.
G.P.
Andrea Feliciani
Aluigi Vindella
Amadeo Moretti?
Amadeo Moretti
Johan Thijs
Sebastian Ochsenkün
Jean Paul Paladin
Ninot Le Petit
Josquin des Prez?
Jacques Clément
Jacques Clément?
Pierre Sandrin?
Petit Jean de Latre
Pierre Cadéac
Simon Gintzler?
Jacquet de Berchem
Jacques Arcadelt
Johannes Lupi
Jean Louys
Jan Verdonck
Clément Janequin?
Pierre Sandrin or Pierre Certon
Benedictus Appenzeller
Nicolas Champion
Pierre de Manchicourt or Jean Richafort
Nicolas Gombert?
Josquin Baston
Roquelay
Jean Caulery
Pierre de la Rue
Diego Pisador
Juan Vásquez
Georg Vogelhuber
Conrad Newsidler
Bernhardt
Bernhardt?
Luys Maymón
Francesco Cardone
Teodoro
Giuseppe Baglioni?
Fabrizio Dentice?
Pietro Paolo Melli?
Scribe A
Albert de Rippe?
D.M.?
N.R.
A.S.
B. de W.
Francesco Guami
Paolo Tusti
Vincenzo Bellavere
Vincenzo Capirola
Mark Antony
Donino Garsi
Francesco Vindella
