Title,Subtitle,Composer,Orig. composer,Source,Document,Volume,Date,Page,Editor,Encoder,Arranger,Intabulator,Contributor,Concordances,Piece,Section,Type,Key,Difficulty,Ensemble,Part,Remarks,Recording,Facsimile,Fronimo,PDF,Midi,Created,Modified
When that I was and a little tiny boy,,Anonymous,,William Shakespeare,Twelfth Night V-1,,1623,%2,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,When that I was and a little tiny boy,,vocal intabulation,Am,3.0,6-course,6-course,,,,https://lutemusic.org/composers/Anon/songs/shakespeare/tiny_boy/tiny_boy_Am_high_T.ft3,https://lutemusic.org/composers/Anon/songs/shakespeare/tiny_boy/pdf/tiny_boy_Am_high_T.pdf,https://lutemusic.org/composers/Anon/songs/shakespeare/tiny_boy/midi/tiny_boy_Am_high_T.mid,1709916849,1697319905
When that I was and a little tiny boy,,Anonymous,,William Shakespeare,Twelfth Night V-1,,1623,%2,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,When that I was and a little tiny boy,,vocal intabulation,Am,2.0,6-course,6-course,,,,https://lutemusic.org/composers/Anon/songs/shakespeare/tiny_boy/tiny_boy_Am_low_T.ft3,https://lutemusic.org/composers/Anon/songs/shakespeare/tiny_boy/pdf/tiny_boy_Am_low_T.pdf,https://lutemusic.org/composers/Anon/songs/shakespeare/tiny_boy/midi/tiny_boy_Am_low_T.mid,1709916849,1697319920
When that I was and a little tiny boy,,Anonymous,,William Shakespeare,Twelfth Night V-1,,1623,%2,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,When that I was and a little tiny boy,,lute song,Dm,3.0,"tenor, 8-course",score,,,,https://lutemusic.org/composers/Anon/songs/shakespeare/tiny_boy/tiny_boy_Dm.ft3,https://lutemusic.org/composers/Anon/songs/shakespeare/tiny_boy/pdf/tiny_boy_Dm.pdf,https://lutemusic.org/composers/Anon/songs/shakespeare/tiny_boy/midi/tiny_boy_Dm.mid,1709916849,1697319936
When that I was and a little tiny boy,,Anonymous,,William Shakespeare,Twelfth Night V-1,,1623,%2,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,When that I was and a little tiny boy,,lute song,Dm,3.0,"tenor, 8-course",8-course,,,,https://lutemusic.org/composers/Anon/songs/shakespeare/tiny_boy/tiny_boy_Dm_T.ft3,https://lutemusic.org/composers/Anon/songs/shakespeare/tiny_boy/pdf/tiny_boy_Dm_T.pdf,https://lutemusic.org/composers/Anon/songs/shakespeare/tiny_boy/midi/tiny_boy_Dm_T.mid,1709916849,1697319957
Stella splendens,,Anonymous,,"E-MO:Monastery of Monserrat, Barcelona",Codex Libre Vermell de Montserrat,,1370,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,Stella splendens,,vocal intabulation,Dm,2.0,6-course,,,,,https://lutemusic.org/composers/Anon/stella_spendens/stella_splendens.ft3,https://lutemusic.org/composers/Anon/stella_spendens/pdf/stella_splendens.pdf,https://lutemusic.org/composers/Anon/stella_spendens/midi/stella_splendens.mid,1709916849,1697320014
Stella splendens,,Anonymous,,"E-MO:Monastery of Monserrat, Barcelona",Codex Libre Vermell de Montserrat,,1370,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,Stella splendens,,vocal intabulation,Fm,2.0,6-course,,,,,https://lutemusic.org/composers/Anon/stella_spendens/stella_splendens_E.ft3,https://lutemusic.org/composers/Anon/stella_spendens/pdf/stella_splendens_E.pdf,https://lutemusic.org/composers/Anon/stella_spendens/midi/stella_splendens_E.mid,1709916849,1697320034
"Blow, blow, thou winter wind",,Thomas Arne,,William Shakespeare,As you like it II-7,,1740,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,,lute song,BbM,3.0,"7-course, soprano 1:soprano, soprano 2:soprano",score,,,,https://lutemusic.org/composers/Arne/blow_blow_thou_winter_wind/blow_blow_thou_winter_wind_S.ft3,https://lutemusic.org/composers/Arne/blow_blow_thou_winter_wind/pdf/blow_blow_thou_winter_wind_S.pdf,https://lutemusic.org/composers/Arne/blow_blow_thou_winter_wind/midi/blow_blow_thou_winter_wind_S.mid,1709916849,1698007334
"Blow, blow, thou winter wind",,Thomas Arne,,William Shakespeare,As you like it II-7,,1740,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,Simple version,lute song,BbM,3.0,"7-course, soprano 1:soprano, soprano 2:soprano",7-course,,,,https://lutemusic.org/composers/Arne/blow_blow_thou_winter_wind/blow_blow_thou_winter_wind_simple_T.ft3,https://lutemusic.org/composers/Arne/blow_blow_thou_winter_wind/pdf/blow_blow_thou_winter_wind_simple_T.pdf,https://lutemusic.org/composers/Arne/blow_blow_thou_winter_wind/midi/blow_blow_thou_winter_wind_simple_T.mid,1709916849,1698006885
"Blow, blow, thou winter wind",,Thomas Arne,,William Shakespeare,As you like it II-7,,1740,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,,lute song,BbM,3.0,"7-course, soprano 1:soprano, soprano 2:soprano",7-course,,,,https://lutemusic.org/composers/Arne/blow_blow_thou_winter_wind/blow_blow_thou_winter_wind_T.ft3,https://lutemusic.org/composers/Arne/blow_blow_thou_winter_wind/pdf/blow_blow_thou_winter_wind_T.pdf,https://lutemusic.org/composers/Arne/blow_blow_thou_winter_wind/midi/blow_blow_thou_winter_wind_T.mid,1709916849,1698007277
"Blow, blow, thou winter wind",,Thomas Arne,,William Shakespeare,As you like it II-7,,1740,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,,lute song,BbM,3.0,"7-course, soprano 1:soprano, soprano 2:soprano","soprano 1, 7-course",,,,https://lutemusic.org/composers/Arne/blow_blow_thou_winter_wind/blow_blow_thou_winter_wind_VT.ft3,https://lutemusic.org/composers/Arne/blow_blow_thou_winter_wind/pdf/blow_blow_thou_winter_wind_VT.pdf,https://lutemusic.org/composers/Arne/blow_blow_thou_winter_wind/midi/blow_blow_thou_winter_wind_VT.mid,1709916849,1698007382
